3,1,Raptor,Rapture
3,2,Portland,bears
3,3,Gatorade,Shower
3,4,TimeTo,CatchUp
3,5,Team,bubblesconky
3,6,Hometown,Hooligans
3,7,Yanni Will,Reap Your Soul...
4,8,Screw You Guys,Im Goin Home
4,9,Team,CatNap34
4,10,ImThe,JuggernautBitch
4,11,Spams Dad,is my hero
4,12,LA,Skinjobbers
4,13,JackBauer,Lover
4,14,Team,Momma
5,15,Team,HPD
5,16,Da,Blitz
5,17,JS,ChopLiver
5,18,Team,woods
6,1,Buzwagis,Revenge
6,19,OMONOIA,LAOS
6,20,Los,Engendros
6,21,Red,Barons
3,1,Lawn,Mower
3,2,White,Power
3,3,Team,Hairmetal
3,4,GameOverMan,GameOver
3,5,Team,bubblesconky
3,6,Hometown,Hooligans
4,8,Cat Town,Carnivores
4,9,Team,CatNap34
4,10,ImThe,JuggernautBitch
4,11,Spams Dad,is my hero
4,12,LA,Skinjobbers
4,13,JackBauer,Lover
